Host_Arrival_NS,Gateway_Ingress_NS,Latency_US
1764346309753876915,1764346309751279585,2597.33
1764346309755906051,1764346309753721509,2184.54
1764346309758045059,1764346309755688496,2356.56
1764346309760175071,1764346309759268518,906.553
1764346309762523840,1764346309759804447,2719.39
1764346309764426019,1764346309762205626,2220.39
1764346309766560226,1764346309764121621,2438.61
1764346309768770739,1764346309766544797,2225.94
1764346309770928386,1764346309768845490,2082.9
1764346309772936830,1764346309770775482,2161.35
1764346309775094238,1764346309772758968,2335.27
1764346309777190215,1764346309774733454,2456.76
1764346309779488973,1764346309778848155,640.818
1764346309781683314,1764346309779122118,2561.2
1764346309783747670,1764346309781277830,2469.84
1764346309785884405,1764346309783243568,2640.84
1764346309787841215,1764346309785688492,2152.72
1764346309789985316,1764346309788863068,1122.25
1764346309792076926,1764346309789627966,2448.96
1764346309794241570,1764346309791761181,2480.39
1764346309796487428,1764346309794190357,2297.07
1764346309798600988,1764346309796167843,2433.14
1764346309800705404,1764346309798842735,1862.67
1764346309802827152,1764346309800335286,2491.87
1764346309805003502,1764346309802737466,2266.04
1764346309807009297,1764346309804722701,2286.6
1764346309809175761,1764346309806662942,2512.82
1764346309811404470,1764346309809267344,2137.13
1764346309813470808,1764346309811225332,2245.48
1764346309815570465,1764346309813188320,2382.14
1764346309817663808,1764346309815172556,2491.25
1764346309819806529,1764346309818838816,967.713
1764346309821868925,1764346309819595465,2273.46
1764346309823931122,1764346309821763426,2167.7
1764346309826158640,1764346309823741162,2417.48
1764346309828417531,1764346309826135092,2282.44
1764346309830571864,1764346309828833732,1738.13
1764346309832710710,1764346309830292287,2418.42
1764346309834796128,1764346309832264774,2531.35
1764346309836787165,1764346309834688200,2098.97
1764346309839047842,1764346309836639940,2407.9
1764346309841328961,1764346309839077614,2251.35
1764346309843353805,1764346309841028354,2325.45
1764346309845490626,1764346309842989342,2501.28
1764346309847574919,1764346309844939332,2635.59
1764346309849676175,1764346309849060032,616.143
1764346309851769712,1764346309849359742,2409.97
1764346309853845964,1764346309851480709,2365.26
1764346309856233458,1764346309853454945,2778.51
1764346309858249271,1764346309855841626,2407.64
1764346309860466644,1764346309859037450,1429.19
1764346309862571304,1764346309860034817,2536.49
1764346309864645096,1764346309862026551,2618.55
1764346309866755118,1764346309864366488,2388.63
1764346309868897189,1764346309866344974,2552.22
1764346309871106787,1764346309868965874,2140.91
1764346309873179014,1764346309870946610,2232.4
1764346309875323151,1764346309872849606,2473.55
1764346309877497406,1764346309874804845,2692.56
1764346309879628624,1764346309878938043,690.581
1764346309881729846,1764346309879212506,2517.34
1764346309883835606,1764346309881359970,2475.64
1764346309885960287,1764346309883336206,2624.08
1764346309888068986,1764346309885742635,2326.35
1764346309890289991,1764346309888854469,1435.52
1764346309892350616,1764346309889859585,2491.03
1764346309894546663,1764346309891844320,2702.34
1764346309896691718,1764346309894186757,2504.96
1764346309898741905,1764346309896162744,2579.16
1764346309900884234,1764346309898825138,2059.1
1764346309902937132,1764346309900765629,2171.5
1764346309905114260,1764346309902727617,2386.64
1764346309907183474,1764346309904694355,2489.12
1764346309909406278,1764346309907053540,2352.74
1764346309911625565,1764346309909228249,2397.32
1764346309913664540,1764346309911194487,2470.05
1764346309915739853,1764346309913166724,2573.13
1764346309917826676,1764346309915543906,2282.77
1764346309920050474,1764346309918823469,1227.01
1764346309922241173,1764346309919551871,2689.3
1764346309924381778,1764346309921776824,2604.95
1764346309926424675,1764346309924180253,2244.42
1764346309928479243,1764346309926128243,2351
1764346309930761000,1764346309928822634,1938.37
1764346309932885670,1764346309930312685,2572.99
1764346309935009144,1764346309932725613,2283.53
1764346309937123065,1764346309934682851,2440.21
1764346309939311500,1764346309936656588,2654.91
1764346309941462415,1764346309938843796,2618.62
1764346309943515698,1764346309941270222,2245.48
1764346309945659097,1764346309943218212,2440.89
1764346309947751461,1764346309945182950,2568.51
1764346309949975741,1764346309948814215,1161.53
1764346309952048707,1764346309949547867,2500.84
1764346309954116202,1764346309951722077,2394.12
1764346309956285968,1764346309953701063,2584.91
1764346309958475173,1764346309956081995,2393.18
1764346309960456417,1764346309959219326,1237.09
1764346309962732512,1764346309960220692,2511.82
1764346309964828345,1764346309962202678,2625.67
1764346309966865765,1764346309964525118,2340.65
1764346309969083112,1764346309966463359,2619.75
1764346309971232746,1764346309968818794,2413.95
1764346309973152689,1764346309970768284,2384.41
1764346309975400651,1764346309973171463,2229.19
1764346309977542662,1764346309975117953,2424.71
1764346309979672967,1764346309978812960,860.007
1764346309981748397,1764346309979318393,2430
1764346309983886621,1764346309981340873,2545.75
1764346309986017973,1764346309983715306,2302.67
1764346309988133663,1764346309985647298,2486.36
1764346309990357229,1764346309989216571,1140.66
1764346309992474965,1764346309989987718,2487.25
1764346309994574806,1764346309992138181,2436.62
1764346309996718857,1764346309994126666,2592.19
1764346309998820282,1764346309996498599,2321.68
1764346310001020315,1764346309999146496,1873.82
1764346310003129117,1764346310000643046,2486.07
1764346310005325418,1764346310003029477,2295.94
1764346310007471812,1764346310004914726,2557.09
1764346310009408099,1764346310006895461,2512.64
1764346310011607965,1764346310009088669,2519.3
1764346310013789531,1764346310011470101,2319.43
1764346310015909671,1764346310013433339,2476.33
