CAN_ID,Priority,TX_Ingress_NS,RX_Egress_NS,E2E_Latency_US
0x18ffefa7,2,1785199187895269313,1785199187895553172,283
0x30c,1,1785199187897013247,1785199187897279869,266
0x18ffa7ef,2,1785199187897778168,1785199187898058867,280
0x18fe50a7,2,1785199187900482374,1785199187900769339,286
0x18ff9528,2,1785199187904546535,1785199187904916954,370
0x18ffefa7,2,1785199187905611121,1785199187905896858,285
0x1f2,1,1785199187906235562,1785199187906526745,291
0x18fd50a7,2,1785199187906579504,1785199187906906577,327
0xc7f94,2,1785199187906723855,1785199187906911076,187
0x18ff2895,2,1785199187907817719,1785199187908144943,327
0x18fe2895,2,1785199187908181587,1785199187908516682,335
0x18fe50a7,2,1785199187910995681,1785199187911287895,292
0x18ff28f4,2,1785199187914008348,1785199187914282532,274
0x18fe28f4,2,1785199187914360439,1785199187914657827,297
0x18ffefa7,2,1785199187916168502,1785199187916527339,358
0x18ffa7ef,2,1785199187918617024,1785199187918895442,278
0x18fe50a7,2,1785199187921321749,1785199187921662488,340
0x1cff50f4,2,1785199187924330471,1785199187924660107,329
0x18ffeff4,2,1785199187924683210,1785199187925035365,352
0x18ff9528,2,1785199187925627241,1785199187925897936,270
0x18ffefa7,2,1785199187926571421,1785199187926906248,334
0x1f2,1,1785199187927195250,1785199187927538690,343
0x18fd50a7,2,1785199187927547026,1785199187927918855,371
0xc7f94,2,1785199187927690932,1785199187927923355,232
0x18ff2895,2,1785199187928731223,1785199187929020537,289
0x18fe2895,2,1785199187929083220,1785199187929417368,334
0x18fe50a7,2,1785199187931963981,1785199187932271359,307
0x18ff38f4,2,1785199187934954815,1785199187935272256,317
0x18ffefa7,2,1785199187937069080,1785199187937400100,331
0x18ffa7ef,2,1785199187939513954,1785199187939792184,278
0x18fe50a7,2,1785199187942218271,1785199187942524378,306
0x18ff9528,2,1785199187946402357,1785199187946677271,274
0x10ffd438,2,1785199187946747003,1785199187947023715,276
0x18ffefa7,2,1785199187947410888,1785199187947688860,277
0x1f2,1,1785199187948035014,1785199187948396969,361
0x18fd50a7,2,1785199187948378864,1785199187948667153,288
0xc7f94,2,1785199187948522715,1785199187948813616,290
0xc7f94,2,1785199187949677300,1785199187950022037,344
0x18fe2895,2,1785199187949981132,1785199187950282611,301
0x18fe50a7,2,1785199187952795059,1785199187953164138,369
0x10ff38d4,2,1785199187957229458,1785199187957519493,290
0x18ffefa7,2,1785199187957923362,1785199187958295175,371
0x18fff5d4,2,1785199187959327316,1785199187959650319,323
0x18ffa7ef,2,1785199187960411273,1785199187960686723,275
0xc7f28,2,1785199187963196052,1785199187963536990,340
0x18ff9528,2,1785199187967230695,1785199187967520532,289
0x18ffefa7,2,1785199187968261781,1785199187968555454,293
0x1f2,1,1785199187968890981,1785199187969160304,269
0x18fd50a7,2,1785199187969235775,1785199187969532229,296
0xc7f94,2,1785199187969380126,1785199187969536784,156
0x18ff2895,2,1785199187970454786,1785199187970775243,320
0x18fe2895,2,1785199187970839506,1785199187971150742,311
0x1801d08f,2,1785199187972925253,1785199187973283716,358
0x18fe50a7,2,1785199187973719507,1785199187974033787,314
0x18ffefa7,2,1785199187978784199,1785199187979149047,364
0x18ffa7ef,2,1785199187981208722,1785199187981520261,311
0x18fe50a7,2,1785199187983913205,1785199187984274011,360
0x1cffd4f5,2,1785199187984267111,1785199187984551880,284
0x18ff9528,2,1785199187988161569,1785199187988442496,280
0x18ffefa7,2,1785199187989105822,1785199187989399271,293
0x1f2,1,1785199187989730096,1785199187990028454,298
0xc7ea8,2,1785199187990074057,1785199187990405286,331
0x18ff28a7,2,1785199187990158538,1785199187990409897,251
0x18ff2895,2,1785199187991312476,1785199187991671837,359
0x18fe2895,2,1785199187991677140,1785199187992024632,347
0x18fe50a7,2,1785199187994491679,1785199187994782382,290
0x18ffefa7,2,1785199187999556574,1785199187999912345,355
0x30c,1,1785199188001490729,1785199188001786728,295
0x18ff28d0,2,1785199188001564988,1785199188001791487,226
0x18ffa7ef,2,1785199188002109577,1785199188002399096,289
0xc7f28,2,1785199188004893783,1785199188005186105,292
0x18ff9528,2,1785199188008958110,1785199188009276609,318
0x18ffefa7,2,1785199188009942030,1785199188010285235,343
0x1f2,1,1785199188010566749,1785199188010919881,353
